,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Jamaal Lascelles\450ab6fc,eng ENG,DF,23,33,32,2928,32.5,3,0,3,0,0,5,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,0.6,1.5,0.03,0.02,0.05,0.03,0.05,Matchs
Matt Ritchie\71ef519e,sct SCO,MTAT,27,35,32,2804,31.2,3,5,3,0,0,6,0,0.10,0.16,0.26,0.10,0.26,3.7,3.7,5.5,9.2,0.12,0.18,0.30,0.12,0.30,Matchs
DeAndre Yedlin\ae0a7ddf,us USA,DF,24,34,31,2845,31.6,0,2,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,1.9,2.2,0.01,0.06,0.07,0.01,0.07,Matchs
Ayoze Pérez\819aa8e7,es ESP,MTAT,24,36,28,2492,27.7,8,5,8,0,0,3,0,0.29,0.18,0.47,0.29,0.47,7.6,7.6,3.8,11.4,0.28,0.14,0.41,0.28,0.41,Matchs
Jonjo Shelvey\3727dd3c,eng ENG,MT,25,30,25,2270,25.2,1,3,1,0,0,3,3,0.04,0.12,0.16,0.04,0.16,2.1,2.1,2.2,4.4,0.08,0.09,0.17,0.08,0.17,Matchs
Florian Lejeune\6eaed4eb,fr FRA,DF,26,24,24,2103,23.4,0,2,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,1.3,1.7,0.02,0.06,0.07,0.02,0.07,Matchs
Mohamed Diamé\b7d082af,sn SEN,MT,30,31,23,2041,22.7,2,0,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,1.6,1.6,0.5,2.1,0.07,0.02,0.09,0.07,0.09,Matchs
Dwight Gayle\e58a03c6,eng ENG,AT,26,35,23,1958,21.8,6,3,6,0,0,3,0,0.28,0.14,0.41,0.28,0.41,9.5,9.5,2.8,12.3,0.44,0.13,0.57,0.44,0.57,Matchs
Javier Manquillo\758dd7f0,es ESP,DF,23,21,20,1758,19.5,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,0.6,0.7,0.00,0.03,0.03,0.00,0.03,Matchs
Christian Atsu\8816329f,gh GHA,ATMT,25,28,19,1784,19.8,2,2,2,0,0,1,0,0.10,0.10,0.20,0.10,0.20,3.8,3.8,2.7,6.5,0.19,0.14,0.33,0.19,0.33,Matchs
Ciaran Clark\2b91cf8e,ie IRL,DF,27,20,19,1746,19.4,2,1,2,0,0,3,0,0.10,0.05,0.15,0.10,0.15,1.8,1.8,0.4,2.1,0.09,0.02,0.11,0.09,0.11,Matchs
Joselu\6265208f,es ESP,AT,27,30,19,1712,19.0,4,1,4,0,1,2,0,0.21,0.05,0.26,0.21,0.26,6.5,5.8,1.2,6.9,0.34,0.06,0.40,0.30,0.36,Matchs
Paul Dummett\3fe6bd8c,wls WAL,DF,25,20,19,1602,17.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.01,0.03,0.05,0.01,0.05,Matchs
Rob Elliot\b1b25949,ie IRL,GB,31,16,16,1440,16.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Isaac Hayden\c951a6df,eng ENG,MT,22,26,15,1374,15.3,1,0,1,0,0,7,0,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.9,1.8,0.06,0.06,0.12,0.06,0.12,Matchs
Mikel Merino\d080ed5e,es ESP,MT,21,24,14,1347,15.0,1,1,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,0.6,0.6,0.8,1.5,0.04,0.06,0.10,0.04,0.10,Matchs
Jacob Murphy\de112b84,eng ENG,ATMT,22,25,13,1148,12.8,1,1,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,1.3,1.3,1.5,2.8,0.10,0.12,0.22,0.10,0.22,Matchs
