Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BAUCHOP, Jimmy	Inside ",, , , , , , , ,	
,"BLACKHAM, Sam	Full ",, , , , ,	
,"BOYLE, Owen	Wing ",, , , , ,	
,"BROWN, Tommy	Wing ",, , , , ,	
,"CROWTHER, George	Centre ",, , , , , , , ,	
,"CROZIER, Joe	Wing ",, , , , ,	
,"DICKINSON, Wally	Full ",, , , , ,	
,"HOWIE, David	Centre ",, , , , ,	
,"HOWLING,",, ,T,e,d,d,y,	,G,o,a,l,k,e,e,p,e,r,	
,"KEETLEY, Tom	Centre ",, , , , , , , ,	
,"LITTLE, Tommy	Inside ",, , , , , , , ,	
,"LOUGHRAN, Tommy	Inside ",, , , , , , , ,	
,"MCCANDLESS,",, ,J,a,c,k,	,W,i,n,g,e,r,	
,"MCLEAN, David	Centre ",, , , , , , , ,	
,"SCATTERGOOD,",, ,E,r,n,i,e,	,G,o,a,l,k,e,e,p,e,r,	
,"SCOTT, Jack	Wing ",, , , , ,	
,"SMITH, Cliff	Centre ",, , , , , , , ,	
,"TURNBULL,",, ,B,o,b,b,y,	,W,i,n,g,e,r,	
,"WAITE, George	Inside ",, , , , , , , ,	
,"WATSON, Sandy	Full ",, , , , ,	
