-- League --	--- FA Cup ---	---- Other ----

1986/87
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ALLEN, Malcolm 	Forward	1+3	0	0	1+3	2	0	1+1	0	0
										
BARDSLEY, David 	Full Back	41	5	0	6	1	0	4	1	0
										
BARNES, John 	Winger	37	10	0	7	3	0	4	1	0
										
BISHOP, Charlie 	Central Defender	0	0	0	0	0	0	0	0	0
										
BLISSETT, Luther 	Forward	35	11	0	5	4	0	2	0	0
										
CALLAGHAN, Nigel 	Winger	17+3	3	0	2	0	0	3	0	0
										
COTON, Tony 	Goalkeeper	31	0	0	6	0	0	3	0	0
										
FALCO, Mark 	Forward	33	14	0	7	2	0	1	0	0
										
FRANKLIN, Paul 	Central Defender	3	0	0	0	0	0	0	0	0
										
GIBBS, Nigel 	Full Back	14+1	0	0	3	0	0	0	0	0
										
GRIDELET, Phil 	Midfielder	0	0	0	0	0	0	0	0	0
										
HOWARD, Matt 	Central Defender	0	0	0	0	0	0	0	0	0
										
JACKETT, Kenny 	Midfielder	32	6	4	5	1	1	4	2	1
										
MCCLELLAND, John 	Central Defender	41	1	0	7	0	0	4	0	0
										
PLUMLEY, Gary 	Goalkeeper	0	0	0	1	0	0	0	0	0
										
PORTER, Gary 	Midfielder	22+4	4	0	4+2	0	0	0+1	0	0
										
POWELL, Cliff 	Full Back	0	0	0	0	0	0	0	0	0
										
PULLAN, Chris 	Midfielder	0+1	0	0	0	0	0	0	0	0
										
RICHARDSON, Kevin 	Midfielder	39	2	0	7	0	0	4	0	0
										
ROBERTS, Iwan 	Forward	2+1	1	0	0	0	0	1	0	0
										
ROSTRON, Wilf 	Full Back	39	1	0	7	0	0	4	1	0
										
SHERWOOD, Steve 	Goalkeeper	11	0	0	0	0	0	1	0	0
										
SIMS, Steve 	Central Defender	19	1	1	7	0	0	0	0	0
										
SINNOTT, Lee 	Central Defender	5+5	0	0	2	0	0	1	0	0
										
SMILLIE, Neil 	Midfielder	0	0	0	0	0	0	1	0	0
										
STERLING, Worrell 	Winger	17+1	4	0	0	0	0	1	0	0
										
TALBOT, Brian 	Midfielder	5+2	1	0	0	0	0	1	0	0
										
TERRY, Steve 	Central Defender	18	2	0	0+1	0	0	4	0	0
										
THORNE, Steve 	Midfielder	0	0	0	0	0	0	0	0	0
