,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Mathew Ryan\4535e4bb,au AUS,GB,27,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Lewis Dunk\282f75f3,eng ENG,DF,27,36,36,3230,35.9,3,3,3,0,0,9,0,0.08,0.08,0.17,0.08,0.17,4.0,4.0,1.1,5.2,0.11,0.03,0.14,0.11,0.14,Matchs
Dan Burn\b2d31e83,eng ENG,DF,27,34,33,2880,32.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,1.2,2.4,0.04,0.04,0.08,0.04,0.08,Matchs
Davy Pröpper\fdd85f94,nl NED,MT,27,35,32,2829,31.4,1,2,1,0,0,4,0,0.03,0.06,0.10,0.03,0.10,1.3,1.3,2.1,3.4,0.04,0.07,0.11,0.04,0.11,Matchs
Adam Webster\c40b6180,eng ENG,DF,24,31,31,2668,29.6,3,1,3,0,0,4,0,0.10,0.03,0.13,0.10,0.13,1.1,1.1,1.0,2.1,0.04,0.03,0.07,0.04,0.07,Matchs
Neal Maupay\4bcf39f6,fr FRA,AT,22,37,30,2766,30.7,10,3,9,1,2,3,0,0.33,0.10,0.42,0.29,0.39,11.6,10.1,2.4,12.5,0.38,0.08,0.46,0.33,0.41,Matchs
Dale Stephens\653ee42d,eng ENG,MT,30,33,28,2530,28.1,0,1,0,0,0,8,0,0.00,0.04,0.04,0.00,0.04,0.5,0.5,1.1,1.6,0.02,0.04,0.06,0.02,0.06,Matchs
Aaron Mooy\47b7e3af,au AUS,MTAT,28,31,25,2085,23.2,2,2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,2.0,2.0,3.4,5.4,0.09,0.15,0.23,0.09,0.23,Matchs
Martín Montoya\5cec2487,es ESP,DF,28,27,23,1896,21.1,0,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,1.3,1.3,1.4,2.7,0.06,0.07,0.13,0.06,0.13,Matchs
Leandro Trossard\38ceb24a,be BEL,ATMT,24,31,22,2011,22.3,5,3,5,0,0,0,0,0.22,0.13,0.36,0.22,0.36,4.7,4.7,4.0,8.7,0.21,0.18,0.39,0.21,0.39,Matchs
Pascal Groß\8aec0537,de GER,ATMT,28,29,22,1796,20.0,2,4,2,0,0,4,0,0.10,0.20,0.30,0.10,0.30,1.9,1.9,5.2,7.1,0.09,0.26,0.36,0.09,0.36,Matchs
Yves Bissouma\6c203af0,ml MLI,MT,22,22,15,1259,14.0,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.1,0.6,0.03,0.01,0.04,0.03,0.04,Matchs
Aaron Connolly\27c01749,ie IRL,AT,19,24,14,1258,14.0,3,1,3,0,0,0,0,0.21,0.07,0.29,0.21,0.29,3.2,3.2,0.3,3.5,0.23,0.02,0.25,0.23,0.25,Matchs
Shane Duffy\7314bba4,ie IRL,DF,27,19,12,1238,13.8,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,1.5,1.5,0.0,1.5,0.11,0.00,0.11,0.11,0.11,Matchs
Steven Alzate\ad1f61f3,co COL,MTDF,20,19,12,1188,13.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.7,1.9,0.09,0.05,0.14,0.09,0.14,Matchs
