,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Virgil van Dijk\e06683ca,nl NED,DF,28,38,38,3420,38.0,5,1,5,0,0,1,0,0.13,0.03,0.16,0.13,0.16,2.9,2.9,1.3,4.2,0.08,0.03,0.11,0.08,0.11,Matchs
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,20,38,35,3175,35.3,4,13,4,0,0,5,0,0.11,0.37,0.48,0.11,0.48,2.8,2.8,9.9,12.7,0.08,0.28,0.36,0.08,0.36,Matchs
Georginio Wijnaldum\eb58eef0,nl NED,MT,28,37,35,2935,32.6,4,0,4,0,0,0,0,0.12,0.00,0.12,0.12,0.12,3.1,3.1,1.2,4.3,0.09,0.04,0.13,0.09,0.13,Matchs
Andrew Robertson\2e4f5f03,sct SCO,DF,25,36,34,3111,34.6,2,12,2,0,0,2,0,0.06,0.35,0.41,0.06,0.41,1.6,1.6,7.6,9.2,0.05,0.22,0.27,0.05,0.27,Matchs
Roberto Firmino\4c370d81,br BRA,AT,27,38,34,2988,33.2,9,8,9,0,0,0,0,0.27,0.24,0.51,0.27,0.51,13.5,13.5,6.3,19.7,0.41,0.19,0.59,0.41,0.59,Matchs
Mohamed Salah\e342ad68,eg EGY,AT,27,34,33,2876,32.0,19,10,16,3,3,1,0,0.59,0.31,0.91,0.50,0.81,19.4,17.2,7.3,24.4,0.61,0.23,0.84,0.54,0.76,Matchs
Sadio Mané\c691bfe2,sn SEN,AT,27,35,31,2747,30.5,18,7,18,0,0,3,0,0.59,0.23,0.82,0.59,0.82,13.8,13.8,7.3,21.0,0.45,0.24,0.69,0.45,0.69,Matchs
Alisson\7a2e46a8,br BRA,GB,26,29,29,2543,28.3,0,1,0,0,0,0,1,0.00,0.04,0.04,0.00,0.04,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02,Matchs
Jordan Henderson\935e6b8f,eng ENG,MT,29,30,26,2238,24.9,4,5,4,0,0,2,0,0.16,0.20,0.36,0.16,0.36,1.4,1.4,2.8,4.2,0.06,0.11,0.17,0.06,0.17,Matchs
Fabinho\7f3b388c,br BRA,MT,25,28,22,2079,23.1,2,3,2,0,0,6,0,0.09,0.13,0.22,0.09,0.22,0.4,0.4,1.8,2.2,0.02,0.08,0.09,0.02,0.09,Matchs
Joe Gomez\7a11550b,eng ENG,DF,22,28,22,2004,22.3,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matchs
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MTAT,25,30,17,1485,16.5,4,1,4,0,0,1,0,0.24,0.06,0.30,0.24,0.30,2.9,2.9,1.2,4.1,0.17,0.08,0.25,0.17,0.25,Matchs
James Milner\2f90f6b8,eng ENG,MTDF,33,22,9,937,10.4,2,2,0,2,2,4,0,0.19,0.19,0.38,0.00,0.19,2.1,0.6,0.7,1.3,0.20,0.07,0.27,0.06,0.12,Matchs
Adrián\f76e6b4e,es ESP,GB,32,11,9,875,9.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Naby Keïta\f25c8e3a,gn GUI,MT,24,18,9,815,9.1,2,3,2,0,0,1,0,0.22,0.33,0.55,0.22,0.55,1.5,1.5,2.3,3.9,0.17,0.26,0.43,0.17,0.43,Matchs
Dejan Lovren\1a2935f6,hr CRO,DF,30,10,9,777,8.6,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,0.4,0.6,0.03,0.04,0.07,0.03,0.07,Matchs
Joël Matip\b217ef29,cm CMR,DF,27,9,8,703,7.8,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matchs
Divock Origi\43a166b4,be BEL,AT,24,28,7,717,8.0,4,1,4,0,0,1,0,0.50,0.13,0.63,0.50,0.63,2.2,2.2,0.2,2.4,0.28,0.03,0.30,0.28,0.30,Matchs
Adam Lallana\99813635,eng ENG,MTAT,31,15,3,382,4.2,1,1,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,1.1,1.1,0.7,1.7,0.25,0.16,0.41,0.25,0.41,Matchs
Neco Williams\dd323728,wls WAL,DF,18,6,3,230,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.10,0.04,0.14,0.10,0.14,Matchs
Takumi Minamino\f833a830,jp JPN,ATMT,24,10,2,249,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.0,1.5,0.52,0.01,0.53,0.52,0.53,Matchs
Xherdan Shaqiri\6421ec64,ch SUI,ATMT,27,7,2,185,2.1,1,0,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,0.6,0.6,0.2,0.8,0.28,0.11,0.38,0.28,0.38,Matchs
Curtis Jones\4fb9c88f,eng ENG,MT,18,6,1,126,1.4,1,0,1,0,0,0,0,0.71,0.00,0.71,0.71,0.71,0.9,0.9,0.0,0.9,0.63,0.00,0.63,0.63,0.63,Matchs
Harvey Elliott\c8387671,eng ENG,DF,16,2,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Rhian Brewster\30e81a88,eng ENG,AT,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Ki-Jana Hoever\9a71e978,nl NED,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Caoimhín Kelleher\62d7ef38,ie IRL,GB,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Andy Lonergan\165cf989,ie IRL,GB,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
