Clt,Équipe,MJ,V,N,D,BM,BE,DB,Pts,xG,xGA,xGD,xGD/90,Affluence,Meilleur buteur de l'équipe,Gardien de but,Notes
1,Manchester City,38,32,2,4,95,23,+72,98,84.2,25.0,+59.2,+1.56,54130,Sergio Agüero - 21,Ederson,→ UEFA Champions League grâce à sa bonne place dans le classement
2,Liverpool,38,30,7,1,89,22,+67,97,75.0,31.1,+43.9,+1.15,52983,Sadio Mané / Mohamed Salah - 22,Alisson,→ UEFA Champions League grâce à sa bonne place dans le classement
3,Chelsea,38,21,9,8,63,39,+24,72,59.0,35.3,+23.7,+0.62,40437,Eden Hazard - 16,Kepa Arrizabalaga,→ UEFA Champions League grâce à sa bonne place dans le classement
4,Tottenham Hotspur,38,23,2,13,67,39,+28,71,58.1,45.4,+12.8,+0.34,54216,Harry Kane - 17,Hugo Lloris,→ UEFA Champions League grâce à sa bonne place dans le classement
5,Arsenal,38,21,7,10,73,51,+22,70,59.1,54.2,+4.8,+0.13,59899,Pierre-Emerick Aubameyang - 22,Bernd Leno,→ UEFA Europa League grâce à sa bonne place dans le classement
6,Manchester United,38,19,9,10,65,54,+11,66,58.0,46.7,+11.3,+0.30,74498,Paul Pogba - 13,David de Gea,→ UEFA Europa League grâce à sa bonne place dans le classement 1
7,Wolverhampton Wanderers,38,16,9,13,47,46,+1,57,49.0,38.9,+10.2,+0.27,31030,Raúl Jiménez - 13,Rui Patrício,→ UEFA Europa League grâce à sa bonne place dans le classement
8,Everton,38,15,9,14,54,46,+8,54,48.3,47.0,+1.3,+0.03,39043,Gylfi Sigurðsson / Richarlison - 13,Jordan Pickford,
9,Leicester City,38,15,7,16,51,48,+3,52,49.6,45.2,+4.4,+0.12,31851,Jamie Vardy - 18,Kasper Schmeichel,
10,West Ham United,38,15,7,16,52,55,-3,52,47.4,61.8,-14.3,-0.38,58336,Marko Arnautović - 10,Łukasz Fabiański,
11,Watford,38,14,8,16,52,59,-7,50,47.6,54.9,-7.3,-0.19,20016,Gerard Deulofeu - 10,Ben Foster,
12,Crystal Palace,38,14,7,17,51,53,-2,49,51.3,49.1,+2.2,+0.06,25455,Luka Milivojević - 12,Vicente Guaita,
13,Newcastle United,38,12,9,17,42,48,-6,45,39.3,53.3,-14.0,-0.37,51121,Ayoze Pérez - 12,Martin Dúbravka,
14,Bournemouth,38,13,6,19,56,70,-14,45,54.4,55.7,-1.3,-0.03,10532,Callum Wilson - 14,Asmir Begović,
15,Burnley,38,11,7,20,45,68,-23,40,41.3,64.0,-22.7,-0.60,20534,Ashley Barnes - 12,Tom Heaton Joe Hart,
16,Southampton,38,9,12,17,45,65,-20,39,47.3,55.6,-8.3,-0.22,30139,Danny Ings / James Ward-Prowse - 7,Alex McCarthy,
17,Brighton & Hove Albion,38,9,9,20,35,60,-25,36,34.5,55.8,-21.3,-0.56,30426,Glenn Murray - 13,Mathew Ryan,
18,Cardiff City,38,10,4,24,34,69,-35,34,39.6,62.4,-22.8,-0.60,31408,Bobby Reid / Víctor Camarasa - 5,Neil Etheridge,Relégué
19,Fulham,38,7,5,26,34,81,-47,26,38.5,65.4,-26.9,-0.71,24371,Aleksandar Mitrović - 11,Sergio Rico,Relégué
20,Huddersfield Town,38,3,7,28,22,76,-54,16,28.7,63.5,-34.8,-0.92,23203,Mathias Jørgensen / Aaron Mooy - 3,Jonas Lössl,Relégué
