-- League --	--- FA Cup ---	---- Other ----

1988/89
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ACHAMPONG, Kenny 	Winger	0	0	0	0	0	0	0	0	0
										
BRADY, Liam 	Midfielder	21+1	3	2	7	0	0	6+1	0	0
										
DEVONSHIRE, Alan 	Midfielder	14+6	0	0	7	0	0	4	0	0
										
DICKENS, Alan 	Midfielder	34+3	5	0	5+2	1	0	7	1	0
										
DICKS, Julian 	Full Back	34	2	0	6	0	0	9	0	0
										
GALE, Tony 	Central Defender	31	0	0	5	0	0	8	1	0
										
HILTON, Paul 	Central Defender	9+2	0	0	0+1	0	0	3+1	0	0
										
INCE, Paul 	Midfielder	32+1	3	0	7	1	0	9	4	0
										
KEEN, Kevin 	Winger	16+8	3	1	0+5	0	0	3+1	1	0
										
KELLY, David 	Forward	21+4	6	0	6	0	0	7+1	5	0
										
KING, Adam 	Midfielder	0	0	0	0	0	0	0	0	0
										
MARTIN, Alvin 	Central Defender	27	1	0	5	0	0	6	2	0
										
MCALISTER, Tom 	Goalkeeper	2	0	0	0	0	0	0	0	0
										
MCAVENNIE, Frank 	Forward	8+1	0	0	0	0	0	0	0	0
										
MCKNIGHT, Allen 	Goalkeeper	23	0	0	4	0	0	8	0	0
										
MCQUEEN, Tommy 	Full Back	0+2	0	0	0	0	0	0	0	0
										
PARKES, Phil 	Goalkeeper	13	0	0	3	0	0	1	0	0
										
PARRIS, George 	Midfielder	23+4	1	0	1	0	0	3+1	0	0
										
POTTS, Steve 	Central Defender	23+5	0	0	7	0	0	7+1	0	0
										
ROBSON, Stewart 	Midfielder	6	0	0	0	0	0	1	0	0
										
ROSENIOR, Leroy 	Forward	26+2	7	0	4	2	0	7	6	0
										
SLATER, Stuart 	Winger	16+2	1	0	3	1	0	1	0	0
										
STEWART, Ray 	Full Back	5+1	2	2	2	0	0	1	1	1
										
STRODDER, Gary 	Central Defender	4+3	0	0	2+2	0	0	1	0	0
										
WARD, Mark 	Winger	30	2	0	3	0	0	7+1	0	0
