,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Łukasz Fabiański\9328b835,pl POL,GB,32,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Alfie Mawson\d368feb8,eng ENG,DF,23,38,38,3420,38.0,2,1,2,0,0,3,0,0.05,0.03,0.08,0.05,0.08,1.9,1.9,0.4,2.3,0.05,0.01,0.06,0.05,0.06,Matchs
Martin Olsson\2f72f79e,se SWE,DF,29,36,36,3149,35.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.8,0.8,1.1,1.9,0.02,0.03,0.06,0.02,0.06,Matchs
Kyle Naughton\e860c42f,eng ENG,DF,28,34,34,3030,33.7,0,2,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,0.4,0.7,0.01,0.01,0.02,0.01,0.02,Matchs
Jordan Ayew\da052c14,gh GHA,ATMT,25,36,33,2852,31.7,7,2,6,1,1,2,1,0.22,0.06,0.28,0.19,0.25,7.0,6.2,0.8,7.1,0.22,0.03,0.25,0.20,0.22,Matchs
Federico Fernández\f25b010f,ar ARG,DF,28,30,30,2676,29.7,1,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,0.7,0.7,0.8,1.5,0.02,0.03,0.05,0.02,0.05,Matchs
Tom Carroll\5a1900a4,eng ENG,MT,25,37,28,2570,28.6,0,4,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,1.0,1.0,3.9,4.9,0.03,0.14,0.17,0.03,0.17,Matchs
Mike van der Hoorn\25f50295,nl NED,DF,24,24,24,1944,21.6,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.6,1.5,0.04,0.03,0.07,0.04,0.07,Matchs
Sam Clucas\987718f5,eng ENG,MTAT,26,29,23,2044,22.7,3,1,3,0,0,2,0,0.13,0.04,0.18,0.13,0.18,1.8,1.8,1.1,2.8,0.08,0.05,0.13,0.08,0.13,Matchs
Ki Sung-yueng\1d8c99b0,kr KOR,MT,28,25,21,1868,20.8,2,2,2,0,0,2,0,0.10,0.10,0.19,0.10,0.19,0.7,0.7,1.5,2.2,0.04,0.07,0.11,0.04,0.11,Matchs
Nathan Dyer\6dfd5af0,eng ENG,MTAT,29,24,16,1307,14.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.8,1.6,0.05,0.05,0.11,0.05,0.11,Matchs
Tammy Abraham\f586779e,eng ENG,AT,19,31,15,1726,19.2,5,1,5,0,0,0,0,0.26,0.05,0.31,0.26,0.31,6.7,6.7,1.0,7.7,0.35,0.05,0.40,0.35,0.40,Matchs
Leroy Fer\3cefa66a,nl NED,MT,27,20,15,1397,15.5,1,1,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,1.4,1.4,1.3,2.7,0.09,0.08,0.17,0.09,0.17,Matchs
André Ayew\5dbefa9d,gh GHA,ATMT,27,12,10,950,10.6,0,2,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,2.0,2.0,1.5,3.5,0.19,0.14,0.33,0.19,0.33,Matchs
Roque Mesa\7c4243d4,es ESP,MT,28,11,9,754,8.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.02,0.04,0.02,0.04,Matchs
Andy King\d790907f,wls WAL,MT,28,11,9,715,7.9,2,1,2,0,0,1,0,0.25,0.13,0.38,0.25,0.38,1.2,1.2,0.2,1.3,0.15,0.02,0.17,0.15,0.17,Matchs
Renato Sanches\032f894e,pt POR,MT,19,12,9,702,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.05,0.04,0.09,0.05,0.09,Matchs
Wilfried Bony\61abe9b6,ci CIV,AT,28,15,8,707,7.9,2,0,2,0,0,2,0,0.25,0.00,0.25,0.25,0.25,1.6,1.6,0.3,1.9,0.21,0.04,0.24,0.21,0.24,Matchs
Luciano Narsingh\977ffc24,nl NED,ATMT,26,18,5,625,6.9,1,0,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,1.4,1.4,1.0,2.4,0.20,0.14,0.34,0.20,0.34,Matchs
Wayne Routledge\1d387eee,eng ENG,MTAT,32,15,4,429,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.11,0.13,0.24,0.11,0.24,Matchs
Leon Britton\b92dd711,eng ENG,MT,34,5,4,302,3.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Connor Roberts\24fae784,wls WAL,DF,21,4,3,268,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Oliver McBurnie\78b8ac63,sct SCO,ATMT,21,11,2,276,3.1,0,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,0.4,0.4,0.5,0.8,0.12,0.15,0.27,0.12,0.27,Matchs
Kyle Bartley\18e96f64,eng ENG,DF,26,5,2,235,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.04,0.11,0.14,0.04,0.14,Matchs
Àngel Rangel\93ee387c,es ESP,DF,34,4,2,156,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matchs
Jay Fulton\434ad289,sct SCO,MT,23,2,0,19,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Erwin Mulder\b3576b7c,nl NED,GB,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Kristoffer Nordfeldt\78549904,se SWE,GB,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Joe Rodon\8d62d31a,wls WAL,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
