Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BARLEY,",, ,H,a,r,r,y,	,W,i,n,g,e,r,	
,"BATEMAN, Arthur	Full ",, , , , ,	
,"BESTALL, Jackie	Inside ",, , , , , , , ,	
,"BUCK, Teddy	Wing ",, , , , ,	
,"CALDERWOOD, James	Full ",, , , , ,	
,"COGLIN, Steve	Inside ",, , , , , , , ,	
,"COLEMAN, Tim	Inside ",, , , , , , , ,	
,"COOPER, Joe	Inside ",, , , , , , , ,	
,"GLOVER, Pat	Centre ",, , , , , , , ,	
,"HALL, Alec	Wing ",, , , , ,	
,"HEIGH, Bob	Inside ",, , , , , , , ,	
,"JACOBSON, Hughie	Full ",, , , , ,	
,"MARSHALL,",, ,B,i,l,l,y,	,W,i,n,g,e,r,	
,"MOULSON, Con	Central ",, , , , , , , , ,	
,"POWELL, Billy	Wing ",, , , , ,	
,"PRIESTLEY, Jock	Wing ",, , , , ,	
,"PRIOR,",, ,J,a,c,k,	,W,i,n,g,e,r,	
,"READ,",, ,T,o,m,m,y,	,G,o,a,l,k,e,e,p,e,r,	
,"ROBSON, Joe	Centre ",, , , , , , , ,	
,"SEAGRAVE, Jack	Full ",, , , , ,	
,"SWABY, Harry	Central ",, , , , , , , , ,	
,"WILLIAMS, Johnny	Centre ",, , , , ,	
,"WILSON, Charlie	Full ",, , , , ,	
,"WRACK, Charlie	Central ",, , , , , , , , ,	
,"WRIGHT,",, ,N,o,r,m,a,n,	,W,i,n,g,e,r,	
