,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Jordan Pickford\4806ec67,eng ENG,GB,24,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matchs
Gylfi Sigurðsson\76dd1480,is ISL,MT,28,38,36,3117,34.6,13,6,11,2,5,3,0,0.38,0.17,0.55,0.32,0.49,10.9,7.0,6.9,13.9,0.32,0.20,0.52,0.20,0.40,Matchs
Michael Keane\c5b7c315,eng ENG,DF,25,33,33,2969,33.0,1,2,1,0,0,2,0,0.03,0.06,0.09,0.03,0.09,2.2,2.2,0.6,2.8,0.07,0.02,0.08,0.07,0.08,Matchs
Lucas Digne\1b84dbe1,fr FRA,DF,25,35,33,2965,32.9,4,4,4,0,0,5,1,0.12,0.12,0.24,0.12,0.24,1.0,1.0,6.6,7.6,0.03,0.20,0.23,0.03,0.23,Matchs
Idrissa Gana Gueye\72c812f3,sn SEN,MT,28,33,32,2822,31.4,0,2,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,1.0,1.7,0.02,0.03,0.05,0.02,0.05,Matchs
Richarlison\fa031b34,br BRA,ATMT,21,35,32,2665,29.6,13,1,13,0,0,5,1,0.44,0.03,0.47,0.44,0.47,8.6,8.6,1.6,10.2,0.29,0.05,0.34,0.29,0.34,Matchs
Kurt Zouma\ce4246f5,fr FRA,DF,23,32,29,2612,29.0,2,2,2,0,0,4,1,0.07,0.07,0.14,0.07,0.14,1.6,1.6,0.3,1.9,0.05,0.01,0.06,0.05,0.06,Matchs
Séamus Coleman\0420d84f,ie IRL,DF,29,29,29,2558,28.4,2,2,2,0,0,1,0,0.07,0.07,0.14,0.07,0.14,1.2,1.2,2.6,3.8,0.04,0.09,0.13,0.04,0.13,Matchs
Bernard\ab4b3e35,br BRA,ATMT,25,34,25,2116,23.5,1,3,1,0,0,5,0,0.04,0.13,0.17,0.04,0.17,2.8,2.8,3.4,6.2,0.12,0.14,0.26,0.12,0.26,Matchs
Theo Walcott\1ecb65be,eng ENG,ATMT,29,37,24,2119,23.5,5,2,5,0,0,1,0,0.21,0.08,0.30,0.21,0.30,6.2,6.2,2.6,8.7,0.26,0.11,0.37,0.26,0.37,Matchs
André Gomes\1961b2aa,pt POR,MT,25,27,24,1980,22.0,1,1,1,0,0,7,0,0.05,0.05,0.09,0.05,0.09,1.8,1.8,0.3,2.1,0.08,0.01,0.09,0.08,0.09,Matchs
Dominic Calvert-Lewin\59e6e5bf,eng ENG,AT,21,35,19,1784,19.8,6,2,6,0,0,3,0,0.30,0.10,0.40,0.30,0.40,5.2,5.1,1.4,6.5,0.26,0.07,0.33,0.26,0.33,Matchs
Cenk Tosun\9a104dee,tr TUR,AT,27,25,10,1059,11.8,3,3,3,0,0,3,0,0.25,0.25,0.51,0.25,0.51,4.3,4.3,0.7,5.0,0.36,0.06,0.42,0.36,0.42,Matchs
Tom Davies\9228b07c,eng ENG,MT,20,16,10,980,10.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.03,0.05,0.08,0.03,0.08,Matchs
Yerry Mina\6d5701f2,co COL,DF,23,13,10,892,9.9,1,0,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.4,0.4,0.2,0.6,0.04,0.02,0.06,0.04,0.06,Matchs
Morgan Schneiderlin\51b41c5c,fr FRA,MT,28,14,10,834,9.3,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.8,0.9,0.01,0.09,0.10,0.01,0.10,Matchs
Jonjoe Kenny\099e666f,eng ENG,DF,21,10,8,791,8.8,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.3,0.4,0.01,0.03,0.05,0.01,0.05,Matchs
Leighton Baines\b18095b6,eng ENG,DF,33,6,5,375,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05,Matchs
Mason Holgate\d0042ab9,eng ENG,DF,21,5,4,408,4.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Phil Jagielka\3233eefd,eng ENG,DFMT,35,7,4,331,3.7,1,0,1,0,0,0,1,0.27,0.00,0.27,0.27,0.27,0.4,0.4,0.2,0.6,0.10,0.05,0.15,0.10,0.15,Matchs
Ademola Lookman\7c104bb7,eng ENG,ATMT,20,21,3,618,6.9,0,2,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,1.4,1.4,1.2,2.6,0.21,0.17,0.38,0.21,0.38,Matchs
Oumar Niasse\af721f98,sn SEN,AT,28,5,0,63,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.7,0.82,0.22,1.04,0.82,1.04,Matchs
James McCarthy\64b08de7,ie IRL,MT,27,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Tyias Browning\c4e180f0,cn CHN,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Kieran Dowell\2f6ec02a,eng ENG,ATMT,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Sandro Ramírez\833fb62e,es ESP,AT,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Maarten Stekelenburg\fefce889,nl NED,GB,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,25.7,38,418,3420,38.0,53,34,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,48.3,44.4,31.3,75.7,1.27,0.82,2.10,1.17,1.99,
Total adversaire,,,26.8,38,418,3420,38.0,44,24,42,2,5,77,2,1.16,0.63,1.79,1.11,1.74,47.0,43.1,31.2,74.4,1.24,0.82,2.06,1.13,1.96,
