,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Łukasz Fabiański\9328b835,pl POL,GB,33,38,38,3420,38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.00,0.00,0.00,0.00,Matchs
Felipe Anderson\9f1893b9,br BRA,MTAT,25,36,36,3043,33.8,9,4,9,0,0,3,0,0.27,0.12,0.38,0.27,0.38,4.8,4.8,6.7,11.6,0.14,0.20,0.34,0.14,0.34,Matchs
Declan Rice\1c7012b8,eng ENG,MT,19,34,34,3003,33.4,2,0,2,0,0,4,0,0.06,0.00,0.06,0.06,0.06,1.2,1.2,0.4,1.6,0.04,0.01,0.05,0.04,0.05,Matchs
Issa Diop\a712ca2b,fr FRA,DF,21,33,33,2970,33.0,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,1.1,1.1,0.1,1.2,0.03,0.00,0.04,0.03,0.04,Matchs
Mark Noble\ff527768,eng ENG,MT,31,31,29,2291,25.5,5,5,1,4,4,6,1,0.20,0.20,0.39,0.04,0.24,3.8,0.8,2.1,2.8,0.15,0.08,0.23,0.03,0.11,Matchs
Robert Snodgrass\9f4647e9,sct SCO,MT,30,33,25,2220,24.7,2,5,2,0,0,10,0,0.08,0.20,0.28,0.08,0.28,2.4,2.4,4.9,7.4,0.10,0.20,0.30,0.10,0.30,Matchs
Marko Arnautović\00459419,at AUT,AT,29,28,24,1990,22.1,10,4,9,1,1,3,0,0.45,0.18,0.63,0.41,0.59,9.7,9.0,3.4,12.4,0.44,0.15,0.59,0.41,0.56,Matchs
Pablo Zabaleta\6813ac34,ar ARG,DF,33,26,23,2092,23.2,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,Matchs
Fabián Balbuena\3626f7d9,py PAR,DF,26,23,23,2013,22.4,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,1.7,1.7,0.1,1.8,0.08,0.00,0.08,0.08,0.08,Matchs
Michail Antonio\ac05f970,jm JAM,ATMT,28,33,22,2103,23.4,6,4,6,0,0,3,0,0.26,0.17,0.43,0.26,0.43,6.7,6.7,3.3,10.0,0.29,0.14,0.43,0.29,0.43,Matchs
Angelo Ogbonna\74b2cd7e,it ITA,DF,30,24,20,1874,20.8,1,1,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,1.4,1.4,0.5,1.8,0.07,0.02,0.09,0.07,0.09,Matchs
Arthur Masuaku\57df7a11,cd COD,DF,24,23,19,1759,19.5,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,1.2,1.3,0.00,0.06,0.06,0.00,0.06,Matchs
Aaron Cresswell\4f974391,eng ENG,DF,28,20,18,1589,17.7,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,0.9,1.4,0.03,0.05,0.08,0.03,0.08,Matchs
Javier Hernández\189cee7b,mx MEX,AT,30,25,14,1334,14.8,7,1,7,0,0,2,0,0.47,0.07,0.54,0.47,0.54,5.6,5.6,1.4,7.1,0.38,0.09,0.48,0.38,0.48,Matchs
Pedro Obiang\ba1e04b3,gq EQG,MT,26,24,12,1128,12.5,0,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,0.6,1.1,0.04,0.05,0.09,0.04,0.09,Matchs
Ryan Fredericks\c067631c,eng ENG,DF,25,15,12,1086,12.1,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.3,0.8,0.04,0.03,0.07,0.04,0.07,Matchs
Manuel Lanzini\26f6dca8,ar ARG,MT,25,10,8,686,7.6,1,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,1.3,1.3,1.1,2.4,0.17,0.14,0.31,0.17,0.31,Matchs
Grady Diangana\f522d7ec,eng ENG,MTAT,20,17,6,609,6.8,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.7,0.7,1.1,1.8,0.10,0.16,0.27,0.10,0.27,Matchs
Andriy Yarmolenko\849c826a,ua UKR,MTAT,28,9,5,459,5.1,2,0,2,0,0,2,0,0.39,0.00,0.39,0.39,0.39,1.1,1.1,0.2,1.3,0.22,0.03,0.25,0.22,0.25,Matchs
Lucas Pérez\a300ac7e,es ESP,AT,29,15,4,475,5.3,3,0,3,0,0,0,0,0.57,0.00,0.57,0.57,0.57,1.9,1.9,0.7,2.6,0.36,0.14,0.50,0.36,0.50,Matchs
Jack Wilshere\9c318325,eng ENG,MT,26,8,4,392,4.4,0,1,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,0.3,0.3,0.4,0.7,0.07,0.09,0.15,0.07,0.15,Matchs
Andy Carroll\b581987a,eng ENG,AT,29,12,3,461,5.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.2,2.0,0.36,0.04,0.40,0.36,0.40,Matchs
Samir Nasri\165bed61,fr FRA,MT,31,5,3,245,2.7,0,2,0,0,0,0,0,0.00,0.73,0.73,0.00,0.73,0.2,0.2,0.8,1.0,0.08,0.28,0.36,0.08,0.36,Matchs
Carlos Sánchez\50b51fac,co COL,MT,32,7,2,245,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06,Matchs
Ben Johnson\9319781b,eng ENG,DF,18,1,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Xande Silva\15d561fa,pt POR,MT,21,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.37,0.13,0.50,0.37,0.50,Matchs
Adrián\f76e6b4e,es ESP,GB,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Conor Coventry\a5ca9127,ie IRL,MT,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Nathan Holland\45ab2170,eng ENG,ATMT,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Joe Powell\a0961a90,eng ENG,MT,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,27.6,38,418,3420,38.0,51,33,46,5,5,59,1,1.34,0.87,2.21,1.21,2.08,47.4,43.7,31.6,75.3,1.25,0.83,2.08,1.15,1.98,
