,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Ederson\3bb7b8b4,br BRA,GB,24,38,38,3420,38.0,0,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,Matchs
Aymeric Laporte\119b9a8e,es ESP,DF,24,35,34,3057,34.0,3,3,3,0,0,3,0,0.09,0.09,0.18,0.09,0.18,2.4,2.4,1.0,3.4,0.07,0.03,0.10,0.07,0.10,Matchs
Bernardo Silva\3eb22ec9,pt POR,MTAT,23,36,31,2854,31.7,7,7,7,0,0,3,0,0.22,0.22,0.44,0.22,0.44,6.1,6.1,7.8,13.9,0.19,0.24,0.44,0.19,0.44,Matchs
Raheem Sterling\b400bde0,eng ENG,AT,23,34,31,2771,30.8,17,9,17,0,0,3,0,0.55,0.29,0.84,0.55,0.84,14.1,14.1,9.7,23.8,0.46,0.32,0.77,0.46,0.77,Matchs
Sergio Agüero\4d034881,ar ARG,AT,30,33,31,2459,27.3,21,8,19,2,2,4,0,0.77,0.29,1.06,0.70,0.99,19.9,18.4,5.4,23.8,0.73,0.20,0.93,0.67,0.87,Matchs
Kyle Walker\86dd77d1,eng ENG,DF,28,33,30,2779,30.9,1,1,1,0,0,3,0,0.03,0.03,0.06,0.03,0.06,0.8,0.8,1.6,2.4,0.03,0.05,0.08,0.03,0.08,Matchs
David Silva\e2716bd0,es ESP,MT,32,33,28,2401,26.7,6,8,6,0,0,2,0,0.22,0.30,0.52,0.22,0.52,7.7,7.7,9.7,17.4,0.29,0.36,0.65,0.29,0.65,Matchs
Fernandinho\101da2b5,br BRA,MT,33,29,27,2377,26.4,1,3,1,0,0,5,0,0.04,0.11,0.15,0.04,0.15,1.7,1.7,2.5,4.1,0.06,0.09,0.16,0.06,0.16,Matchs
İlkay Gündoğan\819b3158,de GER,MT,27,31,23,2137,23.7,6,3,6,0,0,3,0,0.25,0.13,0.38,0.25,0.38,4.1,4.1,4.0,8.1,0.17,0.17,0.34,0.17,0.34,Matchs
Leroy Sané\2b114be3,de GER,AT,22,31,21,1867,20.7,10,10,10,0,0,1,0,0.48,0.48,0.96,0.48,0.96,5.8,5.8,6.8,12.5,0.28,0.33,0.60,0.28,0.60,Matchs
John Stones\5eecec3d,eng ENG,DF,24,24,20,1764,19.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.02,0.01,0.03,0.02,0.03,Matchs
Riyad Mahrez\892d5bb1,dz ALG,ATMT,27,27,14,1343,14.9,7,4,7,0,1,0,0,0.47,0.27,0.74,0.47,0.74,5.8,5.1,4.4,9.5,0.39,0.30,0.69,0.34,0.64,Matchs
Nicolás Otamendi\0d267745,ar ARG,DF,30,18,14,1236,13.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.2,1.6,0.10,0.02,0.11,0.10,0.11,Matchs
Oleksandr Zinchenko\51cf8561,ua UKR,DF,21,14,14,1151,12.8,0,3,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.2,0.2,1.9,2.1,0.01,0.15,0.16,0.01,0.16,Matchs
Vincent Kompany\d2bff301,be BEL,DF,32,17,13,1224,13.6,1,0,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,0.2,0.2,0.1,0.3,0.01,0.01,0.02,0.01,0.02,Matchs
Kevin De Bruyne\e46012d4,be BEL,MT,27,19,11,975,10.8,2,2,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,2.1,2.1,3.5,5.5,0.19,0.32,0.51,0.19,0.51,Matchs
Benjamin Mendy\5271c8f1,fr FRA,DF,24,10,10,900,10.0,0,5,0,0,0,1,0,0.00,0.50,0.50,0.00,0.50,0.2,0.2,1.4,1.5,0.02,0.14,0.15,0.02,0.15,Matchs
Danilo\94b2001f,br BRA,DF,27,11,9,807,9.0,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.5,0.5,0.3,0.8,0.05,0.04,0.09,0.05,0.09,Matchs
Gabriel Jesus\b66315ae,br BRA,AT,21,29,8,1036,11.5,7,3,6,1,1,1,0,0.61,0.26,0.87,0.52,0.78,9.6,8.9,1.8,10.7,0.84,0.16,0.99,0.77,0.93,Matchs
Fabian Delph\111c3236,eng ENG,DF,28,11,8,725,8.1,0,1,0,0,0,1,1,0.00,0.12,0.12,0.00,0.12,0.1,0.1,0.4,0.5,0.01,0.05,0.07,0.01,0.07,Matchs
