-- League --	--- FA Cup ---	---- Other ----

1966/67
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BATES, Mick 	Midfielder	8+1	0	0	0+1	0	0	0+1	0	0
										
BELFITT, Rod 	Forward	10+2	3	0	5	3	0	6	3	0
										
BELL, Willie 	Full Back	37	3	0	7	1	0	11	0	0
										
BREMNER, Billy 	Midfielder	36+1	2	0	6	0	0	12	1	0
										
CHARLTON, Jack 	Central Defender	29	5	0	6	2	0	9	0	0
										
COLLINS, Bobby 	Midfielder	8	0	0	0	0	0	1	0	0
										
COOPER, Terry 	Full Back	20+4	1	0	2+1	0	0	4	0	0
										
GALLANT, David 	Forward	0	0	0	0	0	0	0	0	0
										
GILES, Johnny 	Midfielder	29	12	4	7	2	1	11	4	3
										
GRAY, Eddie 	Winger	29	4	0	4	0	0	6	0	0
										
GREENHOFF, Jimmy 	Forward	27+2	7	0	5+1	0	0	7	3	0
										
HARVEY, David 	Goalkeeper	3	0	0	0	0	0	2	0	0
										
HAWKINS, Dennis 	Midfielder	1	0	0	0	0	0	0	0	0
										
HIBBITT, Terry 	Winger	3+1	1	0	0	0	0	1	0	0
										
HUNTER, Norman 	Central Defender	40	0	0	7	0	0	11	0	0
										
JOHANNESON, Albert 	Winger	21	7	0	2	1	0	4	4	0
										
JOHNSON, Rod 	Midfielder	3	0	0	0	0	0	0	0	0
										
LEDGARD, Ian 	Midfielder	0	0	0	0	0	0	0	0	0
										
LORIMER, Peter 	Forward	27+3	9	0	5+1	2	0	6	3	1
										
LUMSDEN, Jimmy 	Midfielder	1	0	0	0	0	0	0	0	0
										
MADELEY, Paul 	Central Defender	27+2	2	0	4+1	1	0	12	1	0
										
O'GRADY, Mike 	Winger	14	1	0	2	1	0	4	0	0
										
PEACOCK, Alan 	Forward	6	2	0	1	0	0	2	1	0
										
REANEY, Paul 	Full Back	41	1	0	7	0	0	11	0	0
										
SPRAKE, Gary 	Goalkeeper	39	0	0	7	0	0	10	0	0
										
STORRIE, Jim 	Forward	3+4	1	0	0	0	0	2	1	0
