	-- League --	--- FA Cup ---	---- Other ----

1989/90
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
ALLEN, Malcolm 	Forward	6+2	2	0	0	0	0	0	0	0
										
ANTHROBUS, Steve 	Forward	13+2	4	0	0	0	0	4	0	0
										
BABB, Phil 	Central Defender	0	0	0	0	0	0	0	0	0
										
BARHAM, Mark 	Winger	0	0	0	0	0	0	0	0	0
										
BRANAGAN, Keith 	Goalkeeper	16	0	0	5	0	0	1	0	0
										
BRILEY, Les 	Midfielder	25+1	2	0	3+2	0	0	2	0	0
										
CARTER, Jimmy 	Winger	25+3	2	0	3+1	1	0	4	0	0
										
CASCARINO, Tony 	Forward	28	9	0	5	1	0	4	1	0
										
COLEMAN, Nicky 	Full Back	3	0	0	0+1	0	0	1	0	0
										
CUNNINGHAM, Kenny 	Full Back	5	0	0	0	0	0	0	0	0
										
DAWES, Ian 	Full Back	38	4	0	5	0	0	3+1	0	0
										
DUNWELL, Richard 	Forward	0	0	0	0	0	0	0	0	0
										
GODDARD, Paul 	Forward	13+1	1	0	4+1	1	0	0	0	0
										
HORNE, Brian 	Goalkeeper	22	0	0	0	0	0	3	0	0
										
HORRIX, Dean 	Forward	0+1	0	0	0	0	0	0	0	0
										
HUCKER, Peter 	Goalkeeper	0	0	0	0	0	0	0	0	0
										
HURLOCK, Terry 	Midfielder	29	0	0	4	0	0	4	2	0
										
MCCARTHY, Mick 	Central Defender	6	0	0	0	0	0	0	0	0
										
MCLEARY, Alan 	Central Defender	30+1	0	0	5	0	0	2	0	0
										
MORGAN, Darren 	Midfielder	1+1	1	0	0	0	0	0	0	0
										
REID, Wes 	Midfielder	4+1	0	0	0	0	0	0	0	0
										
SALMAN, Danis 	Full Back	7	0	0	2	0	0	0	0	0
										
SHERINGHAM, Teddy 	Forward	28+3	9	0	3	2	0	3	1	0
										
SPARHAM, Sean 	Full Back	5+4	0	0	0	0	0	1+1	0	0
										
STEPHENSON, Paul 	Winger	19+4	2	0	5	0	0	0	0	0
										
STEVENS, Keith 	Full Back	28	0	0	2	0	0	4	0	0
										
THOMPSON, Dave 	Central Defender	25+2	2	0	1	0	0	3	0	0
										
TORPEY, Steve 	Forward	3+4	0	0	0	0	0	0+1	0	0
										
TREACY, Darren 	Midfielder	4	0	0	1	0	0	0	0	0
										
WADDOCK, Gary 	Midfielder	14+4	0	0	2	0	0	3+1	1	0
										
WOOD, Steve 	Central Defender	21	0	0	5	0	0	2	0	0
