,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Vicente Guaita\ab13a5aa,es ESP,GB,33,37,37,3330,37.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Cheikhou Kouyaté\8d3c902d,sn SEN,DF,30,36,35,3121,34.7,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,0.8,0.8,0.2,1.0,0.02,0.01,0.03,0.02,0.03,Matchs
Wilfried Zaha\b2bc3b1f,ci CIV,AT,27,30,29,2612,29.0,11,2,9,2,2,6,0,0.38,0.07,0.45,0.31,0.38,7.5,5.9,3.3,9.2,0.26,0.11,0.37,0.20,0.32,Matchs
Eberechi Eze\ae4fc6a4,eng ENG,MT,22,34,29,2559,28.4,4,6,4,0,0,3,0,0.14,0.21,0.35,0.14,0.35,2.2,2.2,2.8,5.1,0.08,0.10,0.18,0.08,0.18,Matchs
Luka Milivojević\2ce2508a,rs SRB,MT,29,31,27,2359,26.2,1,1,0,1,2,8,1,0.04,0.04,0.08,0.00,0.04,2.3,0.8,1.3,2.1,0.09,0.05,0.14,0.03,0.08,Matchs
Andros Townsend\b28bbd58,eng ENG,MTAT,29,34,25,2258,25.1,1,5,1,0,0,0,0,0.04,0.20,0.24,0.04,0.24,2.3,2.3,3.7,6.0,0.09,0.15,0.24,0.09,0.24,Matchs
Joel Ward\8a7ff278,eng ENG,DF,30,26,25,2256,25.1,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,0.1,0.1,0.4,0.5,0.00,0.02,0.02,0.00,0.02,Matchs
Jordan Ayew\da052c14,gh GHA,ATMT,28,33,23,2096,23.3,1,3,1,0,0,4,0,0.04,0.13,0.17,0.04,0.17,2.4,2.4,0.7,3.0,0.10,0.03,0.13,0.10,0.13,Matchs
Christian Benteke\ab070c55,be BEL,AT,29,30,21,1816,20.2,10,1,10,0,0,3,1,0.50,0.05,0.55,0.50,0.55,8.1,8.1,1.0,9.1,0.40,0.05,0.45,0.40,0.45,Matchs
Gary Cahill\7914b9fe,eng ENG,DF,34,20,20,1800,20.0,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,0.7,0.7,0.7,1.4,0.03,0.04,0.07,0.03,0.07,Matchs
Patrick van Aanholt\5f09991f,nl NED,DF,29,22,20,1777,19.7,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,0.8,2.0,0.06,0.04,0.10,0.06,0.10,Matchs
Jaïro Riedewald\7a1f2c08,nl NED,MT,23,33,19,1820,20.2,2,0,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10,0.7,0.7,1.0,1.6,0.03,0.05,0.08,0.03,0.08,Matchs
Tyrick Mitchell\5cbd1eb0,eng ENG,DF,20,19,19,1710,19.0,1,1,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,0.4,0.4,0.4,0.8,0.02,0.02,0.04,0.02,0.04,Matchs
James McArthur\cee31595,sct SCO,MT,32,18,17,1466,16.3,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.9,1.1,0.01,0.05,0.07,0.01,0.07,Matchs
Jeffrey Schlupp\3312f911,gh GHA,MT,27,27,15,1428,15.9,2,3,2,0,0,3,0,0.13,0.19,0.32,0.13,0.32,1.6,1.6,1.7,3.3,0.10,0.11,0.21,0.10,0.21,Matchs
Scott Dann\52105203,eng ENG,DF,33,15,15,1350,15.0,1,0,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.0,0.4,0.02,0.00,0.02,0.02,0.02,Matchs
Nathaniel Clyne\0442183b,eng ENG,DF,29,13,13,1145,12.7,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matchs
James McCarthy\64b08de7,ie IRL,MT,29,16,10,821,9.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03,Matchs
Michy Batshuayi\2973d8ff,be BEL,AT,26,18,7,728,8.1,2,1,2,0,0,0,0,0.25,0.12,0.37,0.25,0.37,1.4,1.4,1.4,2.8,0.17,0.18,0.35,0.17,0.35,Matchs
James Tomkins\e7ca0439,eng ENG,DF,31,8,6,553,6.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.03,0.01,0.04,0.03,0.04,Matchs
Mamadou Sakho\87935cf3,fr FRA,DF,30,4,3,276,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matchs
Jean-Philippe Mateta\50e6dc35,fr FRA,AT,23,7,2,221,2.5,1,0,1,0,0,0,0,0.41,0.00,0.41,0.41,0.41,0.2,0.2,0.0,0.2,0.08,0.01,0.09,0.08,0.09,Matchs
Jack Butland\cc70a1d5,eng ENG,GB,27,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Martin Kelly\d7492450,eng ENG,DF,30,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Reece Hannam\974b8e7f,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Stephen Henderson\f234c188,ie IRL,GB,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Wayne Hennessey\76eca7e2,wls WAL,GB,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Ryan Inniss\600ae8cb,eng ENG,DF,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Max Meyer\eba42d2b,de GER,ATMT,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Jesuran Rak Sakyi\45685411,eng ENG,MT,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Connor Wickham\41cc19c2,eng ENG,ATMT,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Sam Woods\a62da625,eng ENG,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,29.1,38,418,3420,38.0,39,29,36,3,4,56,2,1.03,0.76,1.79,0.95,1.71,32.4,29.5,20.9,50.4,0.85,0.55,1.40,0.78,1.33,
Total adversaire,,,26.4,38,418,3420,38.0,66,47,63,3,4,44,4,1.74,1.24,2.97,1.66,2.89,57.5,54.4,39.8,94.2,1.51,1.05,2.56,1.43,2.48,
