,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Michael Keane\c5b7c315,eng ENG,DF,27,35,33,2991,33.2,3,1,3,0,0,4,0,0.09,0.03,0.12,0.09,0.12,1.2,1.2,1.1,2.3,0.04,0.03,0.07,0.04,0.07,Matchs
Richarlison\fa031b34,br BRA,AT,23,34,33,2861,31.8,7,3,6,1,1,4,1,0.22,0.09,0.31,0.19,0.28,11.5,10.7,3.2,13.8,0.36,0.10,0.46,0.34,0.44,Matchs
Dominic Calvert-Lewin\59e6e5bf,eng ENG,AT,23,33,32,2871,31.9,16,0,16,0,0,3,0,0.50,0.00,0.50,0.50,0.50,15.4,15.4,2.0,17.5,0.48,0.06,0.55,0.48,0.55,Matchs
Jordan Pickford\4806ec67,eng ENG,GB,26,31,31,2742,30.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Lucas Digne\1b84dbe1,fr FRA,DF,27,30,30,2681,29.8,0,7,0,0,0,2,1,0.00,0.23,0.23,0.00,0.23,0.6,0.6,5.4,6.0,0.02,0.18,0.20,0.02,0.20,Matchs
Ben Godfrey\9f7c837d,eng ENG,DF,22,31,29,2685,29.8,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.9,0.9,0.5,1.4,0.03,0.02,0.05,0.03,0.05,Matchs
Abdoulaye Doucouré\02b29014,fr FRA,MT,27,29,29,2443,27.1,2,3,2,0,0,6,0,0.07,0.11,0.18,0.07,0.18,2.1,2.1,2.2,4.3,0.08,0.08,0.16,0.08,0.16,Matchs
Mason Holgate\d0042ab9,eng ENG,DF,23,28,26,2287,25.4,1,0,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.6,1.4,0.03,0.03,0.06,0.03,0.06,Matchs
Gylfi Sigurðsson\76dd1480,is ISL,MT,30,36,24,2253,25.0,6,5,3,3,4,2,0,0.24,0.20,0.44,0.12,0.32,6.8,3.7,5.0,8.7,0.27,0.20,0.47,0.15,0.35,Matchs
Allan\cc700722,br BRA,MT,29,24,23,2051,22.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,Matchs
Yerry Mina\6d5701f2,co COL,DF,25,24,23,1937,21.5,2,0,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,1.3,1.3,0.0,1.3,0.06,0.00,0.06,0.06,0.06,Matchs
James Rodríguez\715bf047,co COL,ATMT,29,23,21,1764,19.6,6,4,6,0,0,4,0,0.31,0.20,0.51,0.31,0.51,3.4,3.4,5.4,8.8,0.17,0.28,0.45,0.17,0.45,Matchs
Séamus Coleman\0420d84f,ie IRL,DFMT,31,25,18,1613,17.9,0,3,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,1.2,1.2,1.9,3.1,0.06,0.11,0.17,0.06,0.17,Matchs
André Gomes\1961b2aa,pt POR,MT,27,28,17,1570,17.4,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,1.0,1.4,0.03,0.05,0.08,0.03,0.08,Matchs
Alex Iwobi\6ca5ec4b,ng NGA,ATDF,24,30,17,1542,17.1,1,2,1,0,0,0,0,0.06,0.12,0.18,0.06,0.18,1.1,1.1,1.8,2.9,0.06,0.11,0.17,0.06,0.17,Matchs
Tom Davies\9228b07c,eng ENG,MT,22,25,17,1423,15.8,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.2,0.2,1.0,1.1,0.01,0.06,0.07,0.01,0.07,Matchs
Robin Olsen\e7ee38c3,se SWE,GB,30,7,7,630,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Bernard\ab4b3e35,br BRA,MTAT,27,12,3,455,5.1,1,0,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,0.2,0.2,0.6,0.8,0.04,0.12,0.16,0.04,0.16,Matchs
Fabian Delph\111c3236,eng ENG,MTDF,30,8,2,266,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matchs
Anthony Gordon\2bd83368,eng ENG,ATMT,19,3,1,88,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matchs
Niels Nkounkou\f5b281e7,fr FRA,DFAT,19,2,1,81,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matchs
Jonjoe Kenny\099e666f,eng ENG,DFAT,23,4,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Joshua King\43458538,no NOR,MTAT,28,11,0,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.48,0.00,0.48,0.48,0.48,Matchs
Cenk Tosun\9a104dee,tr TUR,AT,29,5,0,48,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.25,0.25,0.00,0.25,Matchs
João Virgínia\728e9b2e,pt POR,GB,20,1,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Moise Kean\3d50bcdb,it ITA,AT,20,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.21,0.00,0.21,0.21,0.21,Matchs
Theo Walcott\1ecb65be,eng ENG,AT,31,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Jean-Philippe Gbamin\6bd603db,ci CIV,MT,24,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Nathan Broadhead\43309491,wls WAL,MT,22,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Kyle Alex John\c9093a1a,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Ryan Astley\0eb884e1,wls WAL,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Jarrad Branthwaite\c1949191,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Jonas Lössl\939bc634,dk DEN,GB,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Tyler Onyango\d86a1f3e,eng ENG,MT,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Isaac Price\b9403c99,nir NIR,MT,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Ellis Simms\26d3b5be,eng ENG,AT,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Harry Tyrer\af49fb14,eng ENG,GB,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Reece Welch\a182122b,eng ENG,DF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matchs
Total de l'équipe,,,26.3,38,418,3420,38.0,45,32,41,4,5,59,2,1.18,0.84,2.03,1.08,1.92,47.1,43.4,32.9,76.3,1.24,0.87,2.11,1.14,2.01,
Total adversaire,,,26.4,38,418,3420,38.0,47,33,44,3,4,66,1,1.24,0.87,2.11,1.16,2.03,52.0,48.9,33.5,82.5,1.37,0.88,2.25,1.29,2.17,
