,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Joueur,Nation,Pos,Âge,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matchs
Mason Mount\9674002f,eng ENG,MTAT,21,36,32,2890,32.1,6,5,5,1,1,2,0,0.19,0.16,0.34,0.16,0.31,6.8,6.0,7.8,13.8,0.21,0.24,0.45,0.19,0.43,Matchs
Edouard Mendy\33887998,sn SEN,GB,28,31,31,2745,30.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs
Timo Werner\49fe9070,de GER,AT,24,35,29,2602,28.9,6,8,6,0,0,2,0,0.21,0.28,0.48,0.21,0.48,11.9,11.9,6.1,18.0,0.41,0.21,0.62,0.41,0.62,Matchs
Ben Chilwell\d2424d1b,eng ENG,DF,23,27,27,2286,25.4,3,5,3,0,0,3,0,0.12,0.20,0.31,0.12,0.31,2.4,2.4,2.8,5.3,0.10,0.11,0.21,0.10,0.21,Matchs
Reece James\1265a93a,eng ENG,DF,20,32,25,2373,26.4,1,2,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,1.6,1.6,3.0,4.6,0.06,0.12,0.18,0.06,0.18,Matchs
César Azpilicueta\53cad200,es ESP,DF,30,26,24,2188,24.3,1,2,1,0,0,5,1,0.04,0.08,0.12,0.04,0.12,0.8,0.8,2.6,3.4,0.03,0.11,0.14,0.03,0.14,Matchs
N'Golo Kanté\b9fbae28,fr FRA,MT,29,30,24,2146,23.8,0,2,0,0,0,7,0,0.00,0.08,0.08,0.00,0.08,0.9,0.9,1.1,2.0,0.04,0.05,0.08,0.04,0.08,Matchs
Jorginho\45db685d,it ITA,MT,28,28,23,2010,22.3,7,1,0,7,9,2,0,0.31,0.04,0.36,0.00,0.04,7.0,0.1,2.1,2.2,0.31,0.09,0.41,0.01,0.10,Matchs
Thiago Silva\86e7deaf,br BRA,DF,35,23,23,1935,21.5,2,0,2,0,0,5,1,0.09,0.00,0.09,0.09,0.09,1.1,1.1,0.3,1.5,0.05,0.02,0.07,0.05,0.07,Matchs
Kurt Zouma\ce4246f5,fr FRA,DF,25,24,22,2029,22.5,5,0,5,0,0,3,0,0.22,0.00,0.22,0.22,0.22,1.8,1.8,0.0,1.9,0.08,0.00,0.08,0.08,0.08,Matchs
Mateo Kovačić\79c0821a,hr CRO,MT,26,27,21,1815,20.2,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,1.0,1.0,1.8,2.9,0.05,0.09,0.14,0.05,0.14,Matchs
Antonio Rüdiger\18b896d6,de GER,DF,27,19,19,1710,19.0,1,0,1,0,0,0,0,0.05,0.00,0.05,0.05,0.05,1.1,1.1,0.3,1.4,0.06,0.02,0.08,0.06,0.08,Matchs
